Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes,production_budget
Moonrise Kingdom,PG-13,2012,45.51,"['Comedy', ' Drama', ' Romance']",94,7.8,309510.0,16.0
Mr. Nobody,R,2009,0.0,"['Drama', ' Fantasy', ' Romance']",141,7.8,210415.0,46.5
Mulan,G,1998,120.62,"['Animation', ' Adventure', ' Family']",88,7.6,242335.0,90.0
Mustang,PG-13,2015,0.85,['Drama'],97,7.6,34220.0,1.4
My Cousin Vinny,R,1992,52.93,"['Comedy', ' Crime']",120,7.6,102954.0,11.0
My Fair Lady,G,1964,72.0,"['Drama', ' Family', ' Musical']",170,7.8,84260.0,17.0
Mystic River,R,2003,90.14,"['Crime', ' Drama', ' Mystery']",138,7.9,409180.0,30.0
The Girl with the Dragon Tattoo,R,2009,10.1,"['Crime', ' Drama', ' Mystery']",152,7.8,205319.0,90.0
The Girl with the Dragon Tattoo,R,2011,102.52,"['Crime', ' Drama', ' Mystery']",158,7.8,409184.0,90.0
Nebraska,R,2013,17.65,"['Adventure', ' Comedy', ' Drama']",115,7.7,110070.0,12.0
Network,R,1976,0.0,['Drama'],121,8.1,0.0,3.8
Night on Earth,R,1991,2.02,"['Comedy', ' Drama']",129,7.8,53639.0,2.0
Nightcrawler,R,2014,32.38,"['Crime', ' Drama', ' Thriller']",117,7.9,444016.0,8.5
No Country for Old Men,R,2007,74.28,"['Crime', ' Drama', ' Thriller']",122,8.1,823752.0,25.0
No Man's Land,R,2001,1.06,"['Comedy', ' Drama', ' War']",98,7.9,43777.0,1.0
"O Brother, Where Art Thou?",PG-13,2000,45.51,"['Adventure', ' Comedy', ' Crime']",107,7.7,277406.0,26.0
Ocean's Eleven,PG-13,2001,183.42,"['Crime', ' Thriller']",116,7.7,501199.0,85.0
Office Space,R,1999,10.82,['Comedy'],89,7.7,236507.0,10.0
Oldboy,R,2003,0.71,"['Action', ' Drama', ' Mystery']",120,8.4,497001.0,3.0
Once,R,2007,9.44,"['Drama', ' Music', ' Romance']",86,7.8,108673.0,0.15
Once Upon a Time in America,R,1984,5.32,"['Crime', ' Drama']",229,8.4,299670.0,30.0
One Flew Over the Cuckoo's Nest,R,1975,112.0,['Drama'],133,8.7,885271.0,4.4
Only the Brave,PG-13,2017,18.34,"['Action', ' Biography', ' Drama']",134,7.6,54104.0,38.0
Ordinary People,R,1980,54.8,['Drama'],124,7.7,45283.0,6.0
Patton,GP,1970,61.7,"['Biography', ' Drama', ' War']",172,7.9,91965.0,12.0
Persepolis,PG-13,2007,4.45,"['Animation', ' Biography', ' Drama']",96,8.0,86522.0,7.3
Philadelphia,PG-13,1993,77.32,['Drama'],125,7.7,218309.0,26.0
Philomena,PG-13,2013,37.71,"['Biography', ' Comedy', ' Drama']",98,7.6,92376.0,12.0
Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,2003,305.41,"['Action', ' Adventure', ' Fantasy']",143,8.0,997630.0,140.0
Planet of the Apes,G,1968,33.4,"['Adventure', ' Sci-Fi']",112,8.0,162123.0,100.0
Planet of the Apes,G,1968,33.4,"['Adventure', ' Sci-Fi']",112,8.0,162123.0,5.8
Platoon,R,1986,138.53,"['Drama', ' War']",120,8.1,371126.0,6.0
Predator,R,1987,59.74,"['Action', ' Adventure', ' Sci-Fi']",107,7.8,362629.0,18.0
Pride & Prejudice,PG,2005,38.41,"['Drama', ' Romance']",129,7.8,244875.0,28.0
Prisoners,R,2013,61.0,"['Crime', ' Drama', ' Mystery']",153,8.1,575515.0,46.0
Psycho,R,1960,32.0,"['Horror', ' Mystery', ' Thriller']",109,8.5,581427.0,20.0
Pulp Fiction,R,1994,107.93,"['Crime', ' Drama']",154,8.9,1768472.0,8.0
Raging Bull,R,1980,23.38,"['Biography', ' Drama', ' Sport']",129,8.2,311421.0,18.0
Raiders of the Lost Ark,PG,1981,248.16,"['Action', ' Adventure']",115,8.4,859997.0,20.0
Rain Man,R,1988,178.8,['Drama'],133,8.0,462532.0,25.0
Ratatouille,G,2007,206.45,"['Animation', ' Adventure', ' Comedy']",111,8.0,620710.0,150.0
Ray,PG-13,2004,75.33,"['Biography', ' Drama', ' Music']",152,7.7,135370.0,40.0
Remember the Titans,PG,2000,115.65,"['Biography', ' Drama', ' Sport']",113,7.8,193143.0,30.0
Requiem for a Dream,R,2000,3.64,['Drama'],102,8.3,743611.0,4.5
Reservoir Dogs,R,1992,2.83,"['Crime', ' Drama', ' Thriller']",99,8.3,890484.0,1.2
Rise of the Planet of the Apes,PG-13,2011,176.76,"['Action', ' Drama', ' Sci-Fi']",105,7.6,488873.0,93.0
Road to Perdition,R,2002,104.45,"['Crime', ' Drama', ' Thriller']",117,7.7,241281.0,80.0
Robin Hood,G,1973,32.06,"['Animation', ' Adventure', ' Comedy']",83,7.6,111963.0,210.0
Robin Hood,G,1973,32.06,"['Animation', ' Adventure', ' Comedy']",83,7.6,111963.0,99.0
Rocky,PG,1976,117.24,"['Drama', ' Sport']",120,8.1,503035.0,1.0
Rogue One: A Star Wars Story,PG-13,2016,532.18,"['Action', ' Adventure', ' Sci-Fi']",133,7.8,534784.0,200.0
Room,R,2015,14.68,"['Drama', ' Thriller']",118,8.1,353061.0,13.0
Rosemary's Baby,R,1968,0.0,"['Drama', ' Horror']",137,8.0,0.0,3.2
Rush,R,2013,26.95,"['Biography', ' Drama', ' Sport']",123,8.1,419726.0,38.0
Rushmore,R,1998,17.11,"['Comedy', ' Drama']",93,7.7,164878.0,10.0
Saving Private Ryan,R,1998,216.54,"['Drama', ' War']",169,8.6,1194993.0,65.0
Saw,R,2004,56.0,"['Horror', ' Mystery']",103,7.6,369992.0,1.2
Scarface,R,1983,45.6,"['Crime', ' Drama']",170,8.3,715597.0,25.0
Se7en,R,1995,100.13,"['Crime', ' Drama', ' Mystery']",127,8.6,1391156.0,30.0
Secrets & Lies,R,1996,13.42,"['Comedy', ' Drama']",136,8.0,35956.0,4.5
Sense and Sensibility,PG,1995,43.18,"['Drama', ' Romance']",136,7.6,98692.0,16.5
Serenity,PG-13,2005,25.51,"['Action', ' Adventure', ' Sci-Fi']",119,7.8,278820.0,39.0
Serenity,PG-13,2005,25.51,"['Action', ' Adventure', ' Sci-Fi']",119,7.8,278820.0,25.0
Seven Pounds,PG-13,2008,69.95,['Drama'],123,7.6,281147.0,54.0
Shaun of the Dead,R,2004,13.54,"['Comedy', ' Horror']",99,7.9,499480.0,5.0
Sherlock Holmes,PG-13,2009,209.03,"['Action', ' Adventure', ' Mystery']",128,7.6,571621.0,90.0
Shine,PG-13,1996,35.81,"['Biography', ' Drama', ' Music']",105,7.7,50308.0,5.5
Shrek,PG,2001,267.67,"['Animation', ' Adventure', ' Comedy']",90,7.8,596783.0,50.0
Shutter Island,R,2010,128.01,"['Mystery', ' Thriller']",138,8.1,1087049.0,80.0
Sicario,R,2015,46.89,"['Action', ' Crime', ' Drama']",121,7.6,357222.0,30.0
Silver Linings Playbook,R,2012,132.09,"['Comedy', ' Drama', ' Romance']",122,7.7,648254.0,21.0
Sin City,R,2005,74.1,"['Crime', ' Thriller']",124,8.0,731566.0,40.0
Singin' in the Rain,G,1952,8.82,"['Comedy', ' Musical', ' Romance']",103,8.3,211478.0,2.54
Skyfall,PG-13,2012,304.36,"['Action', ' Adventure', ' Thriller']",143,7.7,617841.0,200.0
Sleepers,R,1996,49.1,"['Crime', ' Drama', ' Thriller']",147,7.6,182989.0,44.0
Sling Blade,R,1996,24.48,['Drama'],135,8.0,85375.0,4.83361
Slumdog Millionaire,R,2008,141.32,"['Drama', ' Romance']",120,8.0,782942.0,14.0
Snatch,R,2000,30.33,"['Comedy', ' Crime']",102,8.3,762027.0,10.0
Snow White and the Seven Dwarfs,Approved,1937,184.93,"['Animation', ' Family', ' Fantasy']",83,7.6,176044.0,1.488
Solaris,PG,1972,0.0,"['Drama', ' Mystery', ' Sci-Fi']",167,8.1,0.0,47.0
"South Park: Bigger, Longer & Uncut",R,1999,52.01,"['Animation', ' Comedy', ' Fantasy']",81,7.7,189201.0,21.0
Spartacus,PG-13,1960,30.0,"['Adventure', ' Biography', ' Drama']",197,7.9,121002.0,12.0
Spotlight,R,2015,45.06,"['Biography', ' Crime', ' Drama']",129,8.1,402260.0,20.0
Stand by Me,R,1986,52.29,"['Adventure', ' Drama']",89,8.1,352852.0,8.0
Star Trek,PG-13,2009,257.73,"['Action', ' Adventure', ' Sci-Fi']",127,7.9,570229.0,140.0
Star Trek II: The Wrath of Khan,PG,1982,78.91,"['Action', ' Adventure', ' Sci-Fi']",113,7.7,110132.0,12.0
Star Trek Into Darkness,PG-13,2013,228.78,"['Action', ' Adventure', ' Sci-Fi']",132,7.7,457207.0,190.0
Stardust,PG-13,2007,38.63,"['Adventure', ' Family', ' Fantasy']",127,7.6,248592.0,70.0
Straight Outta Compton,R,2015,161.2,"['Biography', ' Drama', ' History']",147,7.9,175089.0,28.0
Strangers on a Train,PG,1951,7.63,"['Crime', ' Film-Noir', ' Thriller']",101,8.0,120228.0,1.2
Superbad,R,2007,121.46,['Comedy'],113,7.6,508657.0,17.5
"Synecdoche, New York",R,2008,3.08,"['Comedy', ' Drama']",124,7.6,78708.0,20.0
Taken,PG-13,2008,145.0,"['Action', ' Thriller']",90,7.8,556007.0,25.0
Tangled,PG,2010,200.82,"['Animation', ' Adventure', ' Comedy']",100,7.7,393520.0,260.0
Taxi Driver,R,1976,28.26,"['Crime', ' Drama']",114,8.3,697162.0,1.0
Terminator 2: Judgment Day,R,1991,204.84,"['Action', ' Sci-Fi']",137,8.5,969011.0,100.0
The Artist,PG-13,2011,44.67,"['Comedy', ' Drama', ' Romance']",100,7.9,226263.0,16.0
The Avengers,PG-13,2012,623.28,"['Action', ' Adventure', ' Sci-Fi']",143,8.0,1236488.0,225.0
The Avengers,PG-13,2012,623.28,"['Action', ' Adventure', ' Sci-Fi']",143,8.0,1236488.0,60.0
The Big Lebowski,R,1998,17.5,"['Comedy', ' Crime', ' Sport']",117,8.1,706655.0,15.0
The Big Short,R,2015,70.26,"['Biography', ' Comedy', ' Drama']",130,7.8,345017.0,28.0
The Blind Side,PG-13,2009,255.96,"['Biography', ' Drama', ' Sport']",129,7.6,283944.0,35.0
The Blues Brothers,R,1980,57.23,"['Adventure', ' Comedy', ' Crime']",133,7.9,177386.0,27.0
The Boondock Saints,R,1999,0.03,"['Action', ' Crime', ' Thriller']",108,7.8,223917.0,7.0
The Bourne Identity,PG-13,2002,121.66,"['Action', ' Mystery', ' Thriller']",119,7.9,496399.0,60.0
The Bourne Supremacy,PG-13,2004,176.24,"['Action', ' Mystery', ' Thriller']",108,7.7,425046.0,85.0
The Bourne Ultimatum,PG-13,2007,227.47,"['Action', ' Mystery', ' Thriller']",115,8.0,595599.0,130.0
The Bridge on the River Kwai,PG,1957,44.91,"['Adventure', ' Drama', ' War']",161,8.1,197381.0,3.0
The Bridges of Madison County,PG-13,1995,71.52,"['Drama', ' Romance']",135,7.6,70565.0,22.0
The Butterfly Effect,R,2004,57.94,"['Drama', ' Sci-Fi', ' Thriller']",113,7.6,442138.0,13.0
The Color Purple,PG-13,1985,98.47,['Drama'],154,7.8,75851.0,15.0
The Conversation,PG,1974,4.42,"['Drama', ' Mystery', ' Thriller']",113,7.8,94693.0,1.6
The Count of Monte Cristo,PG-13,2002,54.23,"['Action', ' Adventure', ' Drama']",131,7.8,126184.0,40.0
The Crow,R,1994,50.69,"['Action', ' Drama', ' Fantasy']",102,7.6,162765.0,40.0
The Curious Case of Benjamin Button,PG-13,2008,127.51,"['Drama', ' Fantasy', ' Romance']",166,7.8,572506.0,160.0
The Dark Knight,PG-13,2008,534.86,"['Action', ' Crime', ' Drama']",152,9.0,2225793.0,185.0
The Dark Knight Rises,PG-13,2012,448.14,"['Action', ' Adventure']",164,8.4,1471126.0,275.0
The Day the Earth Stood Still,G,1951,0.0,"['Drama', ' Sci-Fi']",92,7.7,0.0,80.0
The Day the Earth Stood Still,G,1951,0.0,"['Drama', ' Sci-Fi']",92,7.7,0.0,1.2
The Deer Hunter,R,1978,48.98,"['Drama', ' War']",183,8.1,302232.0,15.0
The Departed,R,2006,132.38,"['Crime', ' Drama', ' Thriller']",151,8.5,1151472.0,90.0
The Elephant Man,PG,1980,0.0,"['Biography', ' Drama']",124,8.1,0.0,5.0
The Exorcist,R,1973,232.91,['Horror'],122,8.0,352235.0,12.0
The Fault in Our Stars,PG-13,2014,124.87,"['Drama', ' Romance']",126,7.7,334402.0,12.0
The Fifth Element,PG-13,1997,63.54,"['Action', ' Adventure', ' Sci-Fi']",126,7.7,423643.0,95.0
The Fighter,R,2010,93.62,"['Biography', ' Drama', ' Sport']",116,7.8,332303.0,11.0
The Florida Project,R,2017,5.9,['Drama'],111,7.6,87930.0,2.0
The French Connection,R,1971,15.63,"['Action', ' Crime', ' Drama']",104,7.7,106512.0,2.2
The Fugitive,PG-13,1993,183.88,"['Action', ' Crime', ' Drama']",130,7.8,260177.0,44.0
The Game,R,1997,48.32,"['Drama', ' Mystery', ' Thriller']",129,7.8,334319.0,50.0
The Godfather,R,1972,134.97,"['Crime', ' Drama']",175,9.2,1559700.0,7.0
The Godfather: Part II,R,1974,57.3,"['Crime', ' Drama']",202,9.0,1090011.0,13.0
The Godfather: Part III,R,1990,66.67,"['Crime', ' Drama']",162,7.6,347915.0,54.0
The Grand Budapest Hotel,R,2014,59.1,"['Adventure', ' Comedy', ' Crime']",99,8.1,682364.0,31.0
The Green Mile,R,1999,136.8,"['Crime', ' Drama', ' Fantasy']",189,8.6,1102651.0,60.0
The Hangover,R,2009,277.32,['Comedy'],100,7.7,702664.0,35.0
The Hateful Eight,R,2015,54.12,"['Crime', ' Drama', ' Mystery']",168,7.8,494225.0,62.0
The Help,PG-13,2011,169.71,['Drama'],146,8.1,417002.0,25.0
The Hobbit: An Unexpected Journey,PG-13,2012,303.0,"['Adventure', ' Family', ' Fantasy']",169,7.8,743582.0,250.0
The Hobbit: The Desolation of Smaug,PG-13,2013,258.37,"['Adventure', ' Fantasy']",161,7.8,588511.0,250.0
The Hunt for Red October,PG,1990,122.01,"['Action', ' Adventure', ' Thriller']",135,7.6,173763.0,30.0
The Hurricane,R,1999,50.67,"['Biography', ' Drama', ' Sport']",146,7.6,89713.0,38.0
The Hurt Locker,R,2008,17.02,"['Drama', ' Thriller', ' War']",131,7.6,412089.0,15.0
The Illusionist,PG-13,2006,39.87,"['Drama', ' Fantasy', ' History']",110,7.6,349275.0,16.5
The Imitation Game,PG-13,2014,91.13,"['Biography', ' Drama', ' Thriller']",114,8.0,662732.0,15.0
The Incredibles,PG,2004,261.44,"['Animation', ' Action', ' Adventure']",115,8.0,639251.0,92.0
The Insider,R,1999,28.97,"['Biography', ' Drama', ' Thriller']",157,7.8,156246.0,68.0
The Iron Giant,PG,1999,23.16,"['Animation', ' Action', ' Adventure']",86,8.0,167161.0,50.0
The Jungle Book,G,1967,141.84,"['Animation', ' Adventure', ' Family']",78,7.6,161375.0,175.0
The Jungle Book,G,1967,141.84,"['Animation', ' Adventure', ' Family']",78,7.6,161375.0,27.0
The Last Emperor,PG-13,1987,43.98,"['Biography', ' Drama', ' History']",163,7.7,91113.0,25.0
The Last King of Scotland,R,2006,17.61,"['Biography', ' Drama', ' History']",123,7.7,172096.0,6.0
The Last Samurai,R,2003,111.11,"['Action', ' Drama', ' War']",154,7.7,389447.0,140.0
The Last of the Mohicans,R,1992,75.51,"['Action', ' Adventure', ' Drama']",112,7.7,144617.0,40.0
The Lego Movie,PG,2014,257.76,"['Animation', ' Action', ' Adventure']",100,7.7,317974.0,60.0
The Lion King,G,1994,422.78,"['Animation', ' Adventure', ' Drama']",88,8.5,910766.0,79.3
The Longest Day,G,1962,39.1,"['Action', ' Drama', ' History']",178,7.8,51200.0,10.0
The Lord of the Rings: The Fellowship of the Ring,PG-13,2001,315.54,"['Action', ' Adventure', ' Drama']",178,8.8,1610060.0,109.0
The Lord of the Rings: The Return of the King,PG-13,2003,377.85,"['Adventure', ' Drama', ' Fantasy']",201,8.9,1594718.0,94.0
The Lord of the Rings: The Two Towers,PG-13,2002,342.55,"['Adventure', ' Drama', ' Fantasy']",179,8.7,1440983.0,94.0
The Lunchbox,PG,2013,4.23,"['Drama', ' Romance']",104,7.8,48219.0,1.7
The Machinist,R,2004,1.08,"['Drama', ' Thriller']",101,7.7,348827.0,5.0
The Manchurian Candidate,PG-13,1962,0.0,"['Drama', ' Thriller']",126,7.9,0.0,80.0
The Martian,PG-13,2015,228.43,"['Adventure', ' Drama', ' Sci-Fi']",144,8.0,735377.0,108.0
The Matrix,R,1999,171.48,"['Action', ' Sci-Fi']",136,8.7,1620748.0,65.0
The Muppet Christmas Carol,G,1992,27.28,"['Comedy', ' Drama', ' Family']",85,7.7,46180.0,12.0
The Muppet Movie,G,1979,76.66,"['Adventure', ' Comedy', ' Family']",95,7.6,31610.0,8.0
The Notebook,PG-13,2004,81.0,"['Drama', ' Romance']",123,7.8,504172.0,30.0
The Others,PG-13,2001,96.52,"['Horror', ' Mystery', ' Thriller']",104,7.6,328776.0,17.0
The Perks of Being a Wallflower,PG-13,2012,17.74,"['Drama', ' Romance']",103,8.0,448425.0,13.0
The Pianist,R,2002,32.57,"['Biography', ' Drama', ' Music']",150,8.5,702042.0,35.0
The Prestige,PG-13,2006,53.09,"['Drama', ' Mystery', ' Sci-Fi']",130,8.5,1145309.0,40.0
The Princess Bride,PG,1987,30.86,"['Adventure', ' Family', ' Fantasy']",98,8.1,382377.0,15.0
The Pursuit of Happyness,PG-13,2006,163.57,"['Biography', ' Drama']",117,8.0,434026.0,55.0
The Remains of the Day,PG,1993,22.95,"['Drama', ' Romance']",134,7.8,63436.0,15.0
The Revenant,R,2015,183.64,"['Action', ' Adventure', ' Drama']",156,8.0,679325.0,135.0
The Right Stuff,PG,1983,21.5,"['Adventure', ' Biography', ' Drama']",193,7.8,54674.0,27.0
The Royal Tenenbaums,R,2001,52.36,"['Comedy', ' Drama']",110,7.6,259514.0,28.0
The Shawshank Redemption,R,1994,28.34,['Drama'],142,9.3,2260466.0,25.0
The Shining,R,1980,44.02,"['Drama', ' Horror']",146,8.4,861013.0,19.0
The Silence of the Lambs,R,1991,130.74,"['Crime', ' Drama', ' Thriller']",118,8.6,1224311.0,20.0
The Sixth Sense,PG-13,1999,293.51,"['Drama', ' Mystery', ' Thriller']",107,8.1,889342.0,40.0
The Social Network,PG-13,2010,96.96,"['Biography', ' Drama']",120,7.7,604643.0,40.0
The Sound of Music,G,1965,163.21,"['Biography', ' Drama', ' Family']",172,8.0,197351.0,8.2
The Station Agent,R,2003,5.74,"['Comedy', ' Drama']",89,7.6,66358.0,0.5
The Sting,PG,1973,159.6,"['Comedy', ' Crime', ' Drama']",129,8.3,234712.0,5.5
The Straight Story,G,1999,6.2,"['Biography', ' Drama']",112,8.0,79415.0,10.0
The Taking of Pelham One Two Three,R,1974,0.0,"['Action', ' Crime', ' Thriller']",104,7.7,0.0,3.8
The Ten Commandments,G,1956,93.74,"['Adventure', ' Drama']",220,7.8,62001.0,13.5
The Ten Commandments,G,1956,93.74,"['Adventure', ' Drama']",220,7.8,62001.0,10.0
The Terminator,R,1984,38.4,"['Action', ' Sci-Fi']",107,8.0,779473.0,6.4
The Theory of Everything,PG-13,2014,35.89,"['Biography', ' Drama', ' Romance']",123,7.7,387629.0,15.0
The Thin Red Line,R,1998,36.4,"['Drama', ' War']",170,7.6,168333.0,52.0
The Thing,R,1982,13.78,"['Horror', ' Mystery', ' Sci-Fi']",109,8.1,357045.0,38.0
The Truman Show,PG,1998,125.62,"['Comedy', ' Drama', ' Sci-Fi']",103,8.1,901951.0,60.0
The Untouchables,R,1987,76.27,"['Crime', ' Drama', ' Thriller']",119,7.9,271046.0,25.0
The Usual Suspects,R,1995,23.34,"['Crime', ' Mystery', ' Thriller']",106,8.5,962314.0,6.0
The Verdict,R,1982,54.0,['Drama'],129,7.7,34630.0,16.0
The Visitor,PG-13,2007,9.42,['Drama'],104,7.6,41044.0,4.0
The Wild Bunch,R,1969,12.06,"['Action', ' Adventure', ' Western']",135,7.9,75653.0,6.0
The Wizard of Oz,PG,1939,2.08,"['Adventure', ' Family', ' Fantasy']",102,8.0,365040.0,2.777
The Wolf of Wall Street,R,2013,116.9,"['Biography', ' Crime', ' Drama']",180,8.2,1129420.0,100.0
The World's Fastest Indian,PG-13,2005,5.13,"['Biography', ' Drama', ' Sport']",127,7.8,50974.0,25.0
The Wrestler,R,2008,26.24,"['Drama', ' Sport']",109,7.9,285343.0,6.0
There Will Be Blood,R,2007,40.22,['Drama'],158,8.2,498643.0,25.0
Thor: Ragnarok,PG-13,2017,315.06,"['Action', ' Adventure', ' Comedy']",130,7.9,558179.0,180.0
"Three Billboards Outside Ebbing, Missouri",R,2017,54.51,"['Comedy', ' Crime', ' Drama']",115,8.2,404862.0,12.0
Titanic,PG-13,1997,659.33,"['Drama', ' Romance']",194,7.8,1017701.0,200.0
Tombstone,R,1993,56.51,"['Action', ' Biography', ' Drama']",130,7.8,122138.0,25.0
Toy Story,G,1995,191.8,"['Animation', ' Adventure', ' Comedy']",81,8.3,858756.0,30.0
Toy Story 2,G,1999,245.85,"['Animation', ' Adventure', ' Comedy']",92,7.9,511533.0,90.0
Toy Story 3,G,2010,415.0,"['Animation', ' Adventure', ' Comedy']",103,8.3,735352.0,200.0
Traffic,R,2000,124.12,"['Crime', ' Drama', ' Thriller']",147,7.6,192328.0,48.0
Training Day,R,2001,76.63,"['Crime', ' Drama', ' Thriller']",122,7.7,378687.0,45.0
Trainspotting,R,1996,16.5,['Drama'],93,8.1,620334.0,3.1
True Grit,PG-13,2010,171.24,"['Drama', ' Western']",110,7.6,302698.0,35.0
True Romance,R,1993,12.28,"['Crime', ' Drama', ' Romance']",119,7.9,200972.0,12.5
12 Monkeys,R,1995,57.14,"['Mystery', ' Sci-Fi', ' Thriller']",129,8.0,565674.0,29.0
Unforgiven,R,1992,101.16,"['Drama', ' Western']",130,8.2,364380.0,14.4
Up,PG,2009,293.0,"['Animation', ' Adventure', ' Comedy']",96,8.2,905554.0,175.0
V for Vendetta,R,2005,70.51,"['Action', ' Drama', ' Sci-Fi']",132,8.2,1003457.0,50.0
Volver,R,2006,12.9,"['Comedy', ' Drama']",121,7.6,92624.0,9.4
Walk the Line,PG-13,2005,119.52,"['Biography', ' Drama', ' Music']",136,7.8,228083.0,29.0
Warrior,PG-13,2011,13.66,"['Action', ' Drama', ' Sport']",140,8.2,425012.0,25.0
Watchmen,R,2009,107.51,"['Action', ' Drama', ' Mystery']",162,7.6,487981.0,138.0
What's Eating Gilbert Grape,PG-13,1993,9.17,['Drama'],118,7.8,208885.0,11.0
Whiplash,R,2014,13.09,"['Drama', ' Music']",106,8.5,683785.0,3.3
Willy Wonka & the Chocolate Factory,G,1971,4.0,"['Family', ' Fantasy', ' Musical']",100,7.8,172693.0,3.0
"Crouching Tiger, Hidden Dragon",PG-13,2000,128.08,"['Action', ' Adventure', ' Fantasy']",120,7.8,248557.0,15.0
Wonder,PG,2017,132.42,"['Drama', ' Family']",113,8.0,131473.0,20.0
Wreck-It Ralph,PG,2012,189.42,"['Animation', ' Adventure', ' Comedy']",101,7.7,369251.0,165.0
X-Men: Days of Future Past,PG-13,2014,233.92,"['Action', ' Adventure', ' Sci-Fi']",132,8.0,647488.0,200.0
Young Frankenstein,PG,1974,86.3,['Comedy'],106,8.0,139631.0,2.8
Zodiac,R,2007,33.08,"['Crime', ' Drama', ' Mystery']",157,7.7,437580.0,85.0
Zombieland,R,2009,75.59,"['Adventure', ' Comedy', ' Fantasy']",88,7.6,507644.0,23.6
Zootopia,PG,2016,341.27,"['Animation', ' Adventure', ' Comedy']",108,8.0,417527.0,150.0
